1.2602000000e+00 2.9221703910e+00
1.2603000000e+00 2.9220929390e+00
1.2604000000e+00 2.9220154870e+00
1.2605000000e+00 2.9219380340e+00
1.2606000000e+00 2.9218605810e+00
1.2607000000e+00 2.9217831280e+00
1.2608000000e+00 2.9217056740e+00
1.2609000000e+00 2.9216282200e+00
1.2610000000e+00 2.9215507670e+00
1.2611000000e+00 2.9214733120e+00
1.2612000000e+00 2.9213958580e+00
1.2613000000e+00 2.9213184030e+00
1.2614000000e+00 2.9212409490e+00
1.2615000000e+00 2.9211634930e+00
1.2616000000e+00 2.9210860380e+00
1.2617000000e+00 2.9210085830e+00
1.2618000000e+00 2.9209311270e+00
1.2619000000e+00 2.9208536710e+00
1.2620000000e+00 2.9207762150e+00
1.2621000000e+00 2.9206987580e+00
1.2622000000e+00 2.9206213020e+00
1.2623000000e+00 2.9205438450e+00
1.2624000000e+00 2.9204663880e+00
1.2625000000e+00 2.9203889300e+00
1.2626000000e+00 2.9203114730e+00
1.2627000000e+00 2.9202340150e+00
1.2628000000e+00 2.9201565570e+00
1.2629000000e+00 2.9200790990e+00
1.2630000000e+00 2.9200016400e+00
1.2631000000e+00 2.9199241820e+00
1.2632000000e+00 2.9198467230e+00
1.2633000000e+00 2.9197692640e+00
1.2634000000e+00 2.9196918040e+00
1.2635000000e+00 2.9196143450e+00
1.2636000000e+00 2.9195368850e+00
1.2637000000e+00 2.9194594250e+00
1.2638000000e+00 2.9193819650e+00
1.2639000000e+00 2.9193045050e+00
